Codi d'Informació,Unitat,Adreça,Codi postal,Municipi,Codi municipi,Utm_x,Utm_y,Latitud,Longitud,Georeferència
17875,Policia Local de Sant Just Desvern,"C. Can Pedroseta, s/n",08960,Sant Just Desvern,82212,422680.3895777295,4582192.801598092,41.38867523,2.076358619,POINT (2.076358619 41.38867523)
17824,Policia Local d'Olot,"Pl. de Can Joanetes, 11, / C. del Mirador, s/n",17800,Olot,171143,457437.9978528188,4670283.021451574,42.18353714,2.484592503,POINT (2.484592503 42.18353714)
17735,Policia Local de Badia del Vallès,"Av. de burgos, s/n",08214,Badia del Vallès,89045,426056.1328901016,4595646.2858432215,41.509092498,2.113950489,POINT (2.113950489 41.509092498)
17723,Policia Local d'Altafulla,"C. del Marquès de Tamarit, 16, local A",43893,Altafulla,430120,363597.5480710085,4555582.891633407,41.141237827,1.37587575,POINT (1.37587575 41.141237827)
17809,Policia Local de Matadepera,"C. Joan Paloma, 1",08230,Matadepera,81206,418899.09329975187,4605465.851371889,41.597897602,2.028008754,POINT (2.028008754 41.597897602)
17894,Policia Local de Sarrià de Ter,"C.   Major de Sarrià, 71-73",17840,Sarrià de Ter,171864,485511.14914811455,4651669.544587255,42.016919088,2.825004782,POINT (2.825004782 42.016919088)
17745,Policia Local de Blanes,"Av. de Joan Carles I, 120",17300,Blanes,170237,482861.524672735,4614718.410401313,41.684052716,2.794073182,POINT (2.794073182 41.684052716)
17889,Policia Local de Santa Margarida i els Monjos,"Av. de Catalunya, 74",08730,Santa Margarida i els Monjos,82515,388088.43617458537,4575237.842281948,41.320969729,1.66283389,POINT (1.66283389 41.320969729)
17917,Policia Local de Vacarisses,"C. de Pau Casals, 17",08233,Vacarisses,82917,409906.7619356125,4606596.367354131,41.60595645,1.918768023,POINT (1.918768023 41.60595645)
17846,Policia Local de la Roca del Vallès,"C. de Catalunya, 24",08430,La Roca del Vallès,81810,443801.7041026205,4604173.360419013,41.587278435,2.325762152,POINT (2.325762152 41.587278435)
17750,Policia Local de Calafell,"Ctra. de l' Estació, 18",43820,Calafell,430379,380326.4498425342,4561096.500251036,41.192384,1.572911,POINT (1.572911 41.192384)
