any;municipi;concepte;indicador;estat;valor
2020;Ampolla, l';renda familiar disponible bruta;per habitant (€);p;14616
2020;Ampolla, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);p;83,3
2020;Amposta;renda familiar disponible bruta;valor (milers €);p;280312
2020;Amposta;renda familiar disponible bruta;per habitant (€);p;13022
2020;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;74,2
2020;Anglès;renda familiar disponible bruta;valor (milers €);p;84980
2020;Anglès;renda familiar disponible bruta;per habitant (€);p;15255
2020;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;86,9
2020;Anglesola;renda familiar disponible bruta;valor (milers €);p;20185
2020;Anglesola;renda familiar disponible bruta;per habitant (€);p;14875
2020;Anglesola;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84,7
2020;Arbeca;renda familiar disponible bruta;valor (milers €);p;30140
2020;Arbeca;renda familiar disponible bruta;per habitant (€);p;14059
2020;Arbeca;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;80,1
2020;Arboç, l';renda familiar disponible bruta;valor (milers €);p;75363
2020;Arboç, l';renda familiar disponible bruta;per habitant (€);p;13479
2020;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);p;76,8
2020;Arbúcies;renda familiar disponible bruta;valor (milers €);p;92469
2020;Arbúcies;renda familiar disponible bruta;per habitant (€);p;14382
2020;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;81,9
2020;Arenys de Mar;renda familiar disponible bruta;valor (milers €);p;276820
2020;Arenys de Mar;renda familiar disponible bruta;per habitant (€);p;17547
2020;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;100
2020;Arenys de Munt;renda familiar disponible bruta;valor (milers €);p;163287
2020;Arenys de Munt;renda familiar disponible bruta;per habitant (€);p;18021
2020;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;102,7
2020;Argentona;renda familiar disponible bruta;valor (milers €);p;229224
2020;Argentona;renda familiar disponible bruta;per habitant (€);p;18409
2020;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;104,9
2020;Artés;renda familiar disponible bruta;valor (milers €);p;95176
2020;Artés;renda familiar disponible bruta;per habitant (€);p;16609
2020;Artés;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;94,6
2020;Artesa de Lleida;renda familiar disponible bruta;valor (milers €);p;22255
2020;Artesa de Lleida;renda familiar disponible bruta;per habitant (€);p;14759
2020;Artesa de Lleida;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84,1
2020;Artesa de Segre;renda familiar disponible bruta;valor (milers €);p;50197
2020;Artesa de Segre;renda familiar disponible bruta;per habitant (€);p;14881
2020;Artesa de Segre;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84,8
2020;Ascó;renda familiar disponible bruta;valor (milers €);p;24742
2020;Ascó;renda familiar disponible bruta;per habitant (€);p;15359
2020;Ascó;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;87,5
2020;Avià;renda familiar disponible bruta;valor (milers €);p;39613
2020;Avià;renda familiar disponible bruta;per habitant (€);p;17961
2020;Avià;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;102,3
2020;Avinyó;renda familiar disponible bruta;valor (milers €);p;39192
2020;Avinyó;renda familiar disponible bruta;per habitant (€);p;17258
2020;Avinyó;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;98,3
2020;Avinyonet de Puigventós;renda familiar disponible bruta;valor (milers €);p;27287
2020;Avinyonet de Puigventós;renda familiar disponible bruta;per habitant (€);p;16938
2020;Avinyonet de Puigventós;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;96,5
2020;Avinyonet del Penedès;renda familiar disponible bruta;valor (milers €);p;27916
2020;Avinyonet del Penedès;renda familiar disponible bruta;per habitant (€);p;16393
2020;Avinyonet del Penedès;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93,4
2020;Badalona;renda familiar disponible bruta;valor (milers €);p;3626360
2020;Badalona;renda familiar disponible bruta;per habitant (€);p;16318
2020;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93
2020;Badia del Vallès;renda familiar disponible bruta;valor (milers €);p;175719
2020;Badia del Vallès;renda familiar disponible bruta;per habitant (€);p;13192
2020;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;75,2
2020;Bagà;renda familiar disponible bruta;valor (milers €);p;38205
2020;Bagà;renda familiar disponible bruta;per habitant (€);p;17864
2020;Bagà;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;101,8
2020;Balaguer;renda familiar disponible bruta;valor (milers €);p;230949
2020;Balaguer;renda familiar disponible bruta;per habitant (€);p;13428
2020;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;76,5
2020;Balenyà;renda familiar disponible bruta;valor (milers €);p;62528
2020;Balenyà;renda familiar disponible bruta;per habitant (€);p;16335
2020;Balenyà;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93,1
2020;Balsareny;renda familiar disponible bruta;valor (milers €);p;55511
2020;Balsareny;renda familiar disponible bruta;per habitant (€);p;17284
2020;Balsareny;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;98,5
2020;Banyeres del Penedès;renda familiar disponible bruta;valor (milers €);p;52328
2020;Banyeres del Penedès;renda familiar disponible bruta;per habitant (€);p;16207
2020;Banyeres del Penedès;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;92,3
2020;Banyoles;renda familiar disponible bruta;valor (milers €);p;339348
2020;Banyoles;renda familiar disponible bruta;per habitant (€);p;16984
2020;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;96,8
2020;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);p;581354
2020;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);p;17526
2020;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;99,8
2020;Barcelona;renda familiar disponible bruta;valor (milers €);p;34394085
2020;Barcelona;renda familiar disponible bruta;per habitant (€);p;20920
2020;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;119,2
2020;Batea;renda familiar disponible bruta;valor (milers €);p;24063
2020;Batea;renda familiar disponible bruta;per habitant (€);p;12877
2020;Batea;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;73,4
2020;Begues;renda familiar disponible bruta;valor (milers €);p;154859
2020;Begues;renda familiar disponible bruta;per habitant (€);p;21269
2020;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;121,2
2020;Begur;renda familiar disponible bruta;valor (milers €);p;67538
2020;Begur;renda familiar disponible bruta;per habitant (€);p;17276
2020;Begur;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;98,4
2020;Bellcaire d'Urgell;renda familiar disponible bruta;valor (milers €);p;18334
2020;Bellcaire d'Urgell;renda familiar disponible bruta;per habitant (€);p;15340
2020;Bellcaire d'Urgell;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;87,4
2020;Bell-lloc d'Urgell;renda familiar disponible bruta;valor (milers €);p;35336
2020;Bell-lloc d'Urgell;renda familiar disponible bruta;per habitant (€);p;14889
2020;Bell-lloc d'Urgell;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84,8
2020;Bellpuig;renda familiar disponible bruta;valor (milers €);p;71943
2020;Bellpuig;renda familiar disponible bruta;per habitant (€);p;13913
2020;Bellpuig;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;79,3
2020;Bellvei;renda familiar disponible bruta;valor (milers €);p;31027
2020;Bellvei;renda familiar disponible bruta;per habitant (€);p;13731
2020;Bellvei;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;78,2
2020;Bellver de Cerdanya;renda familiar disponible bruta;valor (milers €);p;37428
2020;Bellver de Cerdanya;renda familiar disponible bruta;per habitant (€);p;18203
2020;Bellver de Cerdanya;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;103,7
2020;Bellvís;renda familiar disponible bruta;valor (milers €);p;33202
2020;Bellvís;renda familiar disponible bruta;per habitant (€);p;14442
2020;Bellvís;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;82,3
2020;Benavent de Segrià;renda familiar disponible bruta;valor (milers €);p;24387
2020;Benavent de Segrià;renda familiar disponible bruta;per habitant (€);p;16222
2020;Benavent de Segrià;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;92,4
2020;Benissanet;renda familiar disponible bruta;valor (milers €);p;14852
2020;Benissanet;renda familiar disponible bruta;per habitant (€);p;13226
2020;Benissanet;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;75,3
2020;Berga;renda familiar disponible bruta;valor (milers €);p;277474
2020;Berga;renda familiar disponible bruta;per habitant (€);p;16624
2020;Berga;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;94,7
2020;Besalú;renda familiar disponible bruta;valor (milers €);p;41217
2020;Besalú;renda familiar disponible bruta;per habitant (€);p;16836
2020;Besalú;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;95,9
2020;Bescanó;renda familiar disponible bruta;valor (milers €);p;88915
2020;Bescanó;renda familiar disponible bruta;per habitant (€);p;18120
2020;Bescanó;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;103,2
2020;Bigues i Riells del Fai;renda familiar disponible bruta;valor (milers €);p;177113
2020;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (€);p;18774
2020;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;107
2020;Bisbal d'Empordà, la;renda familiar disponible bruta;valor (milers €);p;152151
2020;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (€);p;13810
2020;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;78,7
2020;Bisbal del Penedès, la;renda familiar disponible bruta;valor (milers €);p;54218
2020;Bisbal del Penedès, la;renda familiar disponible bruta;per habitant (€);p;14600
2020;Bisbal del Penedès, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;83,2
2020;Blanes;renda familiar disponible bruta;valor (milers €);p;562248
2020;Blanes;renda familiar disponible bruta;per habitant (€);p;14302
2020;Blanes;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;81,5
2020;Bordils;renda familiar disponible bruta;valor (milers €);p;29893
2020;Bordils;renda familiar disponible bruta;per habitant (€);p;17272
2020;Bordils;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;98,4
2020;Borges Blanques, les;renda familiar disponible bruta;valor (milers €);p;89649
2020;Borges Blanques, les;renda familiar disponible bruta;per habitant (€);p;14428
2020;Borges Blanques, les;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;82,2
2020;Borges del Camp, les;renda familiar disponible bruta;valor (milers €);p;31480
2020;Borges del Camp, les;renda familiar disponible bruta;per habitant (€);p;15028
2020;Borges del Camp, les;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;85,6
2020;Bossòst;renda familiar disponible bruta;valor (milers €);p;17600
2020;Bossòst;renda familiar disponible bruta;per habitant (€);p;15939
2020;Bossòst;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;90,8
2020;Botarell;renda familiar disponible bruta;valor (milers €);p;18058
2020;Botarell;renda familiar disponible bruta;per habitant (€);p;16518
2020;Botarell;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;94,1
2020;Breda;renda familiar disponible bruta;valor (milers €);p;60315
2020;Breda;renda familiar disponible bruta;per habitant (€);p;16192
2020;Breda;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;92,2
2020;Bruc, el;renda familiar disponible bruta;valor (milers €);p;41196
2020;Bruc, el;renda familiar disponible bruta;per habitant (€);p;19189
2020;Bruc, el;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;109,3
2020;Cabra del Camp;renda familiar disponible bruta;valor (milers €);p;16999
2020;Cabra del Camp;renda familiar disponible bruta;per habitant (€);p;14086
2020;Cabra del Camp;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;80,2
2020;Cabrera d'Anoia;renda familiar disponible bruta;valor (milers €);p;22236
2020;Cabrera d'Anoia;renda familiar disponible bruta;per habitant (€);p;14787
2020;Cabrera d'Anoia;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84,2
2020;Cabrera de Mar;renda familiar disponible bruta;valor (milers €);p;114385
2020;Cabrera de Mar;renda familiar disponible bruta;per habitant (€);p;24247
2020;Cabrera de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;138,1
2020;Cabrils;renda familiar disponible bruta;valor (milers €);p;190831
2020;Cabrils;renda familiar disponible bruta;per habitant (€);p;25712
2020;Cabrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;146,5
2020;Cadaqués;renda familiar disponible bruta;valor (milers €);p;35245
2020;Cadaqués;renda familiar disponible bruta;per habitant (€);p;13083
2020;Cadaqués;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;74,5
